Title,cover_url
Butcher's Nails,https://books.google.com/books/content?id=aKoXrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
After Desh'ea,https://books.google.com/books/content?id=eWQaPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Betrayer (Horus Heresy #24),http://books.google.com/books/content?id=1h2kmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Inheritor,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mark of Calth (Horus Heresy #25),https://books.google.com/books/content?id=yqe0NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Censure,https://books.google.com/books/content?id=aKoXrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Kaban Project,https://books.google.com/books/content?id=ZlVluwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mechanicum (Horus Heresy #9),http://books.google.com/books/content?id=aCmLPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Vorax,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source
Into Exile,https://wh40k.lexicanum.com/mediawiki/images/4/41/Into_Exile.jpg
Cybernetica,https://books.google.com/books/content?id=CINmtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Myriad,https://wh40k.lexicanum.com/mediawiki/images/0/05/Myriad.jpg
Hands of The Emperor,https://wh40k.lexicanum.com/mediawiki/images/f/fb/Hands-of-the-Emperor.jpg
The Unremembered Empire (Horus Heresy #27),https://books.google.com/books/content?id=53S4ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Herald of Sanguinius,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sins of the Father,https://books.google.com/books/content?id=4i_GDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Virtues of the Sons,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Laurel of Defiance,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Safe and Shadowed Place,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Pharos (Horus Heresy #34),http://books.google.com/books/content?id=fOG6DAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Painted Count,https://books.google.com/books/content?id=jJ7_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Angels of Caliban (Horus Heresy #38),http://books.google.com/books/content?id=Mdu9AQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Exocytosis,https://books.google.com/books/content?id=jJ7_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ruinstorm (Horus Heresy #46),http://books.google.com/books/content?id=0K23tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
All That Remains,https://books.google.com/books/content?id=FPGojwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Atonement of Fire,https://wh40k.lexicanum.com/mediawiki/images/0/08/Atonement-of-Fire.jpg
The Spear of Ultramar,https://wh40k.lexicanum.com/mediawiki/images/5/54/SpearOfUltramar.jpg
Ordo Sinister,https://books.google.com/books/content?id=CINmtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Master of Mankind (Horus Heresy #41),http://books.google.com/books/content?id=nJmTtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Ember Wolves,http://books.google.com/books/content?id=jJ7_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Magisterium,https://books.google.com/books/content?id=jJ7_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Bringer of Sorrow,https://wh40k.lexicanum.com/mediawiki/images/1/12/Bringer-of-Sorrow.jpg
The Board is Set,http://books.google.com/books/content?id=jJ7_xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Prologue to Nikaea,https://wh40k.lexicanum.com/mediawiki/images/a/a2/Prologue.jpg
The Last Council,https://wh40k.lexicanum.com/mediawiki/images/a/ae/LastCouncil.jpg
Slaves to Darkness (Horus Heresy #51),http://books.google.com/books/content?id=lKQcuAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Buried Dagger (Horus Heresy #54),http://books.google.com/books/content?id=QEiqwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Solar War (Siege of Terra #1),http://books.google.com/books/content?id=_WqiwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lost and The Damned (Siege of Terra #2),http://books.google.com/books/content?id=ukKazQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The First Wall (Siege of Terra #3),https://books.google.com/books/content?id=Aev7zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sons of the Selenar,http://books.google.com/books/content?id=Ut_IyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Saturnine (Siege of Terra #4),http://books.google.com/books/content?id=iFmJzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Fury of Magnus,http://books.google.com/books/content?id=gQ6azQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mortis (Siege of Terra #5),http://books.google.com/books/content?id=J2TuzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Warhawk (Siege of Terra #6),http://books.google.com/books/content?id=2ypzzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Echoes of Eternity (Siege of Terra #7),http://books.google.com/books/content?id=NooQ0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Garro: Knight of Gray,http://books.google.com/books/content?id=xPlIzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The End and The Death: Volume 1,https://books.google.com/books/content?id=4DnAzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The End and The Death: Volume 2,https://books.google.com/books/content?id=B-k-0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The End and The Death: Volume 3,https://books.google.com/books/content?id=XQEn0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
On Earth We're Briefly Gorgeous,http://books.google.com/books/content?id=tLyWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Demon-Haunted World: Science as a Candle in the Dark,http://books.google.com/books/content?id=ulqPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dopamine Nation: Finding Balance in the Age of Indulgence,https://books.google.com/books/content?id=v80AEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Oil and Marble,http://books.google.com/books/content?id=UzyCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Prince of Tides,http://books.google.com/books/content?id=AsttzwEACAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Lonesome Dove: A Novel,http://books.google.com/books/content?id=Re9ZwgL01jUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Sirens of Titan,http://books.google.com/books/content?id=P1IoAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Recursion,http://books.google.com/books/content?id=A2bRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
White Nights,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR2FR9e8S4_3Z4efeNCNn_7v5QgKa7Vo4gATwmwGZFudFt8yZzs9KV9sa7bBexIq2mPrrQSsEnO6y8zelhijEh9KhhscglGzA
Notes From Underground,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR2FR9e8S4_3Z4efeNCNn_7v5QgKa7Vo4gATwmwGZFudFt8yZzs9KV9sa7bBexIq2mPrrQSsEnO6y8zelhijEh9KhhscglGzA
Vertigo,https://books.google.com/books/content?id=UI9XIC0MXx0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Annihilation,http://books.google.com/books/content?id=qUo0AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Authority,https://books.google.com/books/content?id=BPz_EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Acceptance,http://books.google.com/books/content?id=BXpzAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
All the Pretty Horses,http://books.google.com/books/content?id=BN2JDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Fall,https://someferrettnotes.com/wp-content/uploads/2016/09/13-book-cover-the-fall-camus-50watts1.jpg?w=178&h=306
